event_name,event_date,event_location,event_url,time_scraped_utc
Patrick Tam In Full Character Concert,2 Dec 2025,MacPherson Stadium Hong Kong,https://www.macstadiumhkpa.com/en/%E7%A7%9F%E5%A0%B4%E7%B4%B0%E7%AF%80,2025-12-02T03:06:59.180004+00:00
羅啟豪《在你和故事之間》演唱會 2025,4 Dec 2025,MacPherson Stadium Hong Kong,https://www.macstadiumhkpa.com/en/%E7%A7%9F%E5%A0%B4%E7%B4%B0%E7%AF%80,2025-12-02T03:06:59.180004+00:00
