event_name,event_date,event_location,event_section,event_link,scraped_at_utc,uid
Asia Pacific Food Expo 2025,5 - 8 Dec 2025,,"6 - 27 Nov 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (November 2025 Edition)
KNOW MORE
19 - 21 Nov 2025
Hall 3
Singapore - International Disaster and Emergency Management Expo 2025
KNOW MORE
21 - 23 Nov 2025
Hall 6A
Universal Traveller Winter Wear & Luggage Mega Expo Sale
KNOW MORE
21 - 23 Nov 2025
Hall 6B
Salam Fest
KNOW MORE
22 Nov 2025
Arena @ EXPO
Solar 3rd Concert ""Solaris"" in Singapore
KNOW MORE
28 - 30 Nov 2025
Hall 6B
Babyland Mega One Stop Baby Fair
KNOW MORE
28 - 30 Nov 2025
Garnet Meeting Rooms
Mercury Festival Fairies & Fable
KNOW MORE
29 - 30 Nov 2025
Hall 2
Singapore Urban Sport + Fitness Festival
KNOW MORE
29 - 30 Nov 2025
Halls 3 - 5
AIA HYROX Singapore
KNOW MORE
4 - 18 Dec 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (December 2025 Edition)
KNOW MORE
5 - 8 Dec 2025
Hall 4
Asia Pacific Food Expo 2025
KNOW MORE
5 - 7 Dec 2025
Hall 6A
Beauty Fiesta Christmas 2025
KNOW MORE
5 Dec 2025
Arena @ EXPO
Tyla: We Wanna Party Asia in Singapore
KNOW MORE
LOAD MORE",https://www.singaporeexpo.com.sg/what-s-on/events-expo/asia-pacific-food-expo-2025,2025-11-21 05:40:59+0000,Asia Pacific Food Expo 2025 | 5 - 8 Dec 2025 |  | https://www.singaporeexpo.com.sg/what-s-on/events-expo/asia-pacific-food-expo-2025
Beauty Fiesta Christmas 2025,5 - 7 Dec 2025,,"6 - 27 Nov 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (November 2025 Edition)
KNOW MORE
19 - 21 Nov 2025
Hall 3
Singapore - International Disaster and Emergency Management Expo 2025
KNOW MORE
21 - 23 Nov 2025
Hall 6A
Universal Traveller Winter Wear & Luggage Mega Expo Sale
KNOW MORE
21 - 23 Nov 2025
Hall 6B
Salam Fest
KNOW MORE
22 Nov 2025
Arena @ EXPO
Solar 3rd Concert ""Solaris"" in Singapore
KNOW MORE
28 - 30 Nov 2025
Hall 6B
Babyland Mega One Stop Baby Fair
KNOW MORE
28 - 30 Nov 2025
Garnet Meeting Rooms
Mercury Festival Fairies & Fable
KNOW MORE
29 - 30 Nov 2025
Hall 2
Singapore Urban Sport + Fitness Festival
KNOW MORE
29 - 30 Nov 2025
Halls 3 - 5
AIA HYROX Singapore
KNOW MORE
4 - 18 Dec 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (December 2025 Edition)
KNOW MORE
5 - 8 Dec 2025
Hall 4
Asia Pacific Food Expo 2025
KNOW MORE
5 - 7 Dec 2025
Hall 6A
Beauty Fiesta Christmas 2025
KNOW MORE
5 Dec 2025
Arena @ EXPO
Tyla: We Wanna Party Asia in Singapore
KNOW MORE
LOAD MORE",https://www.singaporeexpo.com.sg/what-s-on/events-expo/beauty-fiesta-christmas-2025,2025-11-21 05:40:59+0000,Beauty Fiesta Christmas 2025 | 5 - 7 Dec 2025 |  | https://www.singaporeexpo.com.sg/what-s-on/events-expo/beauty-fiesta-christmas-2025
Tyla: We Wanna Party Asia in Singapore,5-Dec-25,,"6 - 27 Nov 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (November 2025 Edition)
KNOW MORE
19 - 21 Nov 2025
Hall 3
Singapore - International Disaster and Emergency Management Expo 2025
KNOW MORE
21 - 23 Nov 2025
Hall 6A
Universal Traveller Winter Wear & Luggage Mega Expo Sale
KNOW MORE
21 - 23 Nov 2025
Hall 6B
Salam Fest
KNOW MORE
22 Nov 2025
Arena @ EXPO
Solar 3rd Concert ""Solaris"" in Singapore
KNOW MORE
28 - 30 Nov 2025
Hall 6B
Babyland Mega One Stop Baby Fair
KNOW MORE
28 - 30 Nov 2025
Garnet Meeting Rooms
Mercury Festival Fairies & Fable
KNOW MORE
29 - 30 Nov 2025
Hall 2
Singapore Urban Sport + Fitness Festival
KNOW MORE
29 - 30 Nov 2025
Halls 3 - 5
AIA HYROX Singapore
KNOW MORE
4 - 18 Dec 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (December 2025 Edition)
KNOW MORE
5 - 8 Dec 2025
Hall 4
Asia Pacific Food Expo 2025
KNOW MORE
5 - 7 Dec 2025
Hall 6A
Beauty Fiesta Christmas 2025
KNOW MORE
5 Dec 2025
Arena @ EXPO
Tyla: We Wanna Party Asia in Singapore
KNOW MORE
LOAD MORE",https://www.singaporeexpo.com.sg/what-s-on/events-expo/Tyla-We-Wanna-Party-Asia-in-Singapore,2025-11-21 05:40:59+0000,Tyla: We Wanna Party Asia in Singapore | 5 Dec 2025 |  | https://www.singaporeexpo.com.sg/what-s-on/events-expo/Tyla-We-Wanna-Party-Asia-in-Singapore
"""Arknights"" TV Anime Series Orchestra Concert [FILM ON ORCHESTRA] – Singapore","Friday, November 21, 2025",The Star,The Star Events,https://www.thestar.sg/events/arknights-singapore,2025-11-21 05:49:56+0000,"""Arknights"" TV Anime Series Orchestra Concert [FILM ON ORCHESTRA] – Singapore | Friday, November 21, 2025 | The Star | https://www.thestar.sg/events/arknights-singapore"
Jimmy O. Yang - Big & Tall Tour,"Monday, November 24, 2025",The Star,The Star Events,https://www.thestar.sg/events/jimmy-o-yang-big-tall-tour,2025-11-21 05:49:56+0000,"Jimmy O. Yang - Big & Tall Tour | Monday, November 24, 2025 | The Star | https://www.thestar.sg/events/jimmy-o-yang-big-tall-tour"
Avatar: The Last Airbender In Concert – The 20th Anniversary Tour,"Wednesday, November 26, 2025",The Star,The Star Events,https://www.thestar.sg/events/avatar-the-last-airbender-in-concert-the-20th-anniversary-tour,2025-11-21 05:49:56+0000,"Avatar: The Last Airbender In Concert – The 20th Anniversary Tour | Wednesday, November 26, 2025 | The Star | https://www.thestar.sg/events/avatar-the-last-airbender-in-concert-the-20th-anniversary-tour"
Top Gun Maverick In Concert,"Thursday, November 27, 2025",The Star,The Star Events,https://www.thestar.sg/events/top-gun-maverick-in-concert,2025-11-21 05:49:56+0000,"Top Gun Maverick In Concert | Thursday, November 27, 2025 | The Star | https://www.thestar.sg/events/top-gun-maverick-in-concert"
Exists X Slam Singapore [G],"Saturday, November 29, 2025",The Star,The Star Events,https://www.thestar.sg/events/exists-x-slam-singapore,2025-11-21 05:49:56+0000,"Exists X Slam Singapore [G] | Saturday, November 29, 2025 | The Star | https://www.thestar.sg/events/exists-x-slam-singapore"
TV Girl Perform Their Hits Live in Singapore,"Wednesday, December 3, 2025",The Star,The Star Events,https://www.thestar.sg/events/tv-girl-perform-their-hits-live-in-singapore,2025-11-21 05:49:56+0000,"TV Girl Perform Their Hits Live in Singapore | Wednesday, December 3, 2025 | The Star | https://www.thestar.sg/events/tv-girl-perform-their-hits-live-in-singapore"
Roselia Asia Tour,"Friday, December 5, 2025",The Star,The Star Events,https://www.thestar.sg/events/roselia-asia-tour,2025-11-21 05:49:56+0000,"Roselia Asia Tour | Friday, December 5, 2025 | The Star | https://www.thestar.sg/events/roselia-asia-tour"
