event_name,event_venue,event_date,scraped_utc
DECADENT: One and Three,CJ Azit Gwangheungchang,2026.01.10 - 2026.01.11,2025-12-02T07:21:04.450758+00:00
"Lee Min-jung Concert “Every Minute, Every Second” : Rolling 31st Anniversary Show",Rolling Hall,2026.01.08 - 2026.01.08,2025-12-02T07:21:04.450758+00:00
GIFT Concert ‘GO!!’ : Rolling 31st Anniversary Show,Rolling Hall,2026.01.04 - 2026.01.04,2025-12-02T07:21:04.450758+00:00
Xdinary Heroes 2ND FANMEETING 〈XCLUSIVE PARTY〉,Korea University Hwajeong Tiger Dome,2026.01.03 - 2026.01.04,2025-12-02T07:21:04.450758+00:00
Byeol Eun Concert ‘Letter of Romance’ : Rolling 31st Anniversary Show,Rolling Hall,2026.01.02 - 2026.01.02,2025-12-02T07:21:04.450758+00:00
2025 Hemeets Year-end Concert ‘Endless Set List’,WESTBRIDGE,2025.12.28 - 2025.12.28,2025-12-02T07:21:04.450758+00:00
서원 fanmeeting in Seoul 〈Holiday Party〉,송해아트홀,2025.12.28 - 2025.12.28,2025-12-02T07:21:04.450758+00:00
Electron Sheep 〈PLAYING AND LIVING: ISCO’ 25〉,WESTBRIDGE LIVE HALL,2025.12.27 - 2025.12.27,2025-12-02T07:21:04.450758+00:00
Oyster End-year concert : Into the Shell,KT&G Sangsangmadang Livehall，Hongdae,2025.12.26 - 2025.12.26,2025-12-02T07:21:04.450758+00:00
MONDAY PROJECT season 8 [ untell “ANIMAL” 2nd Anniversary Concert],Club onair,2025.12.23 - 2025.12.23,2025-12-02T07:21:04.450758+00:00
MONDAY PROJECT season 8 [saeneok’s solo concert “Boy Sculpture”],Club onair,2025.12.22 - 2025.12.22,2025-12-02T07:21:04.450758+00:00
먼데이프로젝트 시즌8 : 단편선 순간들 연말 단독 콘서트 〈인간 만세〉,벨로주 홍대/,2025.12.22 - 2025.12.22,2025-12-02T07:21:04.450758+00:00
KangSeungSik Fan Meeting 〈End of the Year〉,ILCHI ART HALL,2025.12.21 - 2025.12.21,2025-12-02T07:21:04.450758+00:00
현대카드 Curated 102 MUSHVENOM,HYUNDAICARD UNDERSTAGE,2025.12.14 - 2025.12.14,2025-12-02T07:21:04.450758+00:00
Kraftwerk Multimedia Tour in Seoul,Seoul | 명화 라이브홀,2026-05-04T00:00:00Z,2025-12-08T02:35:39.593734+00:00
NUT30 FESTIVAL - Crying Nut Acoustic Concert,KT&G Sangsangmadang Live hall,2025.12.20 - 2025.12.21,2025-12-08T02:35:54.196252+00:00
Music commentary : Talkback #12 ‘다다다(DADADA)’,KT&G 상상마당/시네마,2025.12.15 - 2025.12.15,2025-12-08T02:35:54.196252+00:00
Band ‘CORONA’ Concert ‘The END’,Club onair,2025.12.28 - 2025.12.28,2025-12-08T02:35:54.196252+00:00
2025 TAEHO LIVE CONCERT [Sweet Winter],H-stage,2025.12.25 - 2025.12.25,2025-12-08T02:35:54.196252+00:00
"ONLY-U, JINA-U, FAN MEETING&CONSERT 2025",글로스터호텔 인천점 그랜드볼룸(4F),2025.12.13 - 2025.12.13,2025-12-08T02:35:54.196252+00:00
2026 MONSTA X WORLD TOUR [THE X : NEXUS],KSPO DOME,2026.01.30 - 2026.02.01,2025-12-08T02:35:54.196252+00:00
PIETA Concert ‘My Apocalypse’ : Rolling 31st Anniversary Show,롤링홀/,2026.01.11 - 2026.01.11,2025-12-08T02:35:54.196252+00:00
2026 KUN B-day PARTY [Secret Garden],CG Art Hall,2026.01.02 - 2026.01.02,2025-12-08T02:35:54.196252+00:00
MONDAY PROJECT season 8 [Rosai in Hurry’s solo Concert ‘Adventure Time’],Club onair,2025.12.29 - 2025.12.29,2025-12-08T02:35:54.196252+00:00
MONDAY PROJECT season 8 [ TheyNeverChange’s solo Concert “Beyond the wall”],Prism Hall,2025.12.29 - 2025.12.29,2025-12-08T02:35:54.196252+00:00
NUT30 FESTIVAL - CRYING NUT with NO BRAIN,KT&G Sangsangmadang Livehall，Hongdae,2025.12.24 - 2025.12.24,2025-12-08T02:35:54.196252+00:00
