Title,Date,Location,Link,TimeScraped
BEN BÖHMER (LIVE),"Sat, 27 Dec 2025",Savaya Bali,https://megatix.co.id/events/ben-bohmer-2712,15/12/2025 16:29
BEN BÖHMER (LIVE),"Sat, 27 Dec 2025",Savaya Bali,https://megatix.co.id/events/ben-bohmer-2712,15/12/2025 16:29
X-Clusive Presents: Bali NYE 2025 with Tyga,"Wed, 31 Dec 2025",The Stage,https://megatix.co.id/events/nye-2025-with-tyga,15/12/2025 16:29
ARTBAT & MISS MONIQUE,"Mon, 29 Dec 2025",Savaya Bali,https://megatix.co.id/events/artbat-miss-monique-2912,15/12/2025 16:29
RUDIMENTAL,"Fri, 02 Jan 2026",Atlas Beach Club,https://megatix.co.id/events/rudimental-2026,15/12/2025 16:29
NEW YEAR'S EVE 2025 | MESA BALI,"Wed, 31 Dec 2025",The Mesa Bali,https://megatix.co.id/events/nye-mesa-2025,15/12/2025 16:29
NEW YEAR'S EVE PARTY AT W BALI - SEMINYAK,"Wed, 31 Dec 2025",W Bali - Seminyak,https://megatix.co.id/events/NYE-W-BALI-SEMINYAK,15/12/2025 16:29
